fid,t_ff,R,tz,span_px,product,mode,cert_logged,cert_live,fiction,e_accepted,ready,epoch_id
20260719T201630-f170ead6,3.8821705,1.1413860406507563,1.1386035463385236,43.04648650006177,49.012882186383706,BAR_FULL,certified,certified,True,False,False,0
20260719T201630-f170ead6,3.9175856,1.017844444044874,1.0170156534312738,53.75872022286245,54.67345997508349,BAR_FULL,certified,certified,True,False,False,0
20260719T201630-f170ead6,3.9909726,0.8081001884567897,0.8076363367503387,43.0,34.728362480264565,BAR_FULL,certified,certified,True,False,False,0
20260719T201630-f170ead6,4.0499482,0.6694470496221003,0.6681371438606108,18.027756377319946,12.045013656157462,BAR_FULL,certified,certified,True,False,False,0
20260719T201630-f170ead6,4.150272,0.43212818444844764,0.4255499011983266,57.271284253105414,24.371789355410286,BAR_FULL,certified,certified,False,False,False,0
20260719T201630-f170ead6,4.181667,0.3587488700234894,0.35569989597739954,45.0,16.006495318982978,BAR_FULL,certified,certified,False,False,False,0
20260719T201630-f170ead6,4.2156164,0.27300651135685866,0.26912722788859167,46.010868281309364,12.382777433295919,BAR_FULL,certified,certified,False,False,False,0
20260719T201630-f170ead6,4.2488157,0.17159938588459817,0.16505953689764108,18.110770276274835,2.9893553546614875,BAR_FULL,certified,certified,False,False,False,0
20260719T201630-f170ead6,4.2859504,0.06606891117823167,0.06242920109026777,57.42821606144492,3.5851976487552903,BAR_FULL,certified,certified,False,False,False,0
20260719T201630-f170ead6,4.3466153,0.07768440346420877,-0.07422517601926612,47.0,-3.4885832729055077,BAR_FULL,certified,certified,False,False,True,0
20260719T202445-f170ead6,3.1067616,1.035333523345096,1.031657670378763,49.49747468305833,51.06444942115576,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.1326999,0.962571602996292,0.9522863516758315,50.48762224545735,48.078673592914136,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.1694035,0.9123441237363991,0.8988783511466091,49.36598018878993,44.37401087483566,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.2071304,0.8192730546002569,0.8109988367408272,50.15974481593781,40.6794946969423,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.2324891,0.6880725904786968,0.6853779225078642,53.150729063673246,36.42833626543873,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.2643163,0.624211336418687,0.6204783817919947,52.3450093132096,32.478946673547185,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.2984183,0.5384383043443076,0.5318097583481536,52.3450093132096,27.837586753589846,BAR_FULL,certified,certified,True,False,False,0
20260719T202445-f170ead6,3.3359114,0.42289462932359106,0.4187681536959823,52.46903848937962,21.972362374400937,BAR_FULL,certified,certified,False,False,False,0
20260719T202445-f170ead6,3.374891,0.3326431159811406,0.33016427002557164,54.3323108288245,17.9385877436013,BAR_FULL,certified,certified,False,False,False,0
20260719T202445-f170ead6,3.4042903,0.28142658432930084,0.27742743902310446,54.147945482723536,15.022125843634669,BAR_FULL,certified,certified,False,False,False,0
20260719T202445-f170ead6,3.431544,0.17807191869237626,0.17092620202669007,13.416407864998739,2.293215641205248,BAR_FULL,certified,certified,False,False,False,0
20260719T202445-f170ead6,3.4707617,0.06833456275510548,0.06552824005957388,53.23532661682466,3.488417262197109,BAR_FULL,certified,certified,False,False,False,0
20260719T202445-f170ead6,3.5001032,0.021221820322005324,0.018965270761122335,55.14526271584895,1.0458448385992998,BAR_FULL,certified,certified,False,False,True,0
20260719T202445-f170ead6,3.5357904,0.07497593757241734,-0.07443390278151787,58.077534382926416,-4.322937548049007,BAR_FULL,certified,certified,False,False,True,0
20260719T202445-f170ead6,3.5625597,0.1455982746987936,-0.14495882005678284,59.135437767890075,-8.572203282374657,BAR_FULL,certified,certified,False,False,True,0
20260719T202445-f170ead6,7.795363,0.8702522881957139,0.5090646059803198,637.0447394021867,324.29692925560965,BAR_FULL,certified,certified,False,False,False,3
20260719T202445-f170ead6,7.8337495,0.7637640768648045,0.5420685848463325,646.9327631214854,350.68192739599124,BAR_FULL,certified,none,False,False,False,4
20260719T202720-50f9dcc8,2.9576263,2.4596175122789283,2.459157329086356,53.08483775994799,130.54396784073623,BAR_FULL,certified,certified,True,False,True,0
20260719T202720-50f9dcc8,2.9734309,2.4230687142881497,2.422481869474874,53.150729063673246,128.7566775061197,BAR_FULL,certified,certified,True,False,True,0
20260719T202720-50f9dcc8,3.0097691,2.297871446705128,2.2967282123009904,53.08483775994799,121.92144452869346,BAR_FULL,certified,certified,True,False,True,0
20260719T202720-50f9dcc8,4.1408632,0.679326755480924,-0.6702979849675493,51.0098029794274,-34.19176815070188,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.1746159,0.7134815596113795,-0.7040833212169582,49.09175083453431,-34.564682971934296,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.212002,0.8312502074435679,-0.8205832842630266,44.28317965096906,-36.33803699560182,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.2489672,0.9190672320602714,-0.904702904506566,43.104524124504614,-38.99678817281267,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.2728549,0.9782261479240211,-0.9613290863342553,42.190046219457976,-40.558518584551535,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.3074441,1.060478065861907,-1.041251941389573,39.05124837953327,-40.66218818887544,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.3414945,1.1631193358357257,-1.1406305341800163,38.01315561749642,-43.35896599785303,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.3757026,1.19520124616255,-1.1710957633826986,38.0,-44.50163900854255,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.412347,1.301935670593944,-1.2703749244473843,37.013511046643494,-47.02103629941215,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.4733564,1.4175579018929552,-1.3794832003634234,36.05551275463989,-49.737974125514874,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.5088982,1.5263965548384153,-1.4782845325924194,38.01315561749642,-56.1942599843736,BAR_FULL,certified,certified,False,False,True,0
