t_rel_s,signed_plane_m,active_gate_index,lock_present,det_present,det_certified,det_confidence,det_class,gate_rel_age_s,commit_predicate_vector,range_m,lateral_m,true_world_dz_m,opening_off_m,abort_corridor_breach_proxy,margin_lateral_m,margin_vertical_m,last_full_quad_signed_plane_m,phase,v_cmd_body_xyz,yaw_rate,blind_hold,speed_cap_mps,v_est_body_xyz,phase_transition,exit_cause,proxy_exit_cause,collision_impulse
0.0,0.9828830087055926,0,True,True,True,1.0,FULL_QUAD,0.002574168,UNLOGGED,1.408978315893504,-0.11864202679603564,1.3448066440500317,1.350029940558127,True,0.6813579732039644,-0.5448066440500317,0.9828830087055926,commit,"(1.4104736881782993, -0.21630185704013088, -1.2)",-0.12302916438912286,False,UNLOGGED,"(1.8801288477055202, 0.3757215826294288, -1.651528660605214)",,UNLOGGED,NONE,
0.016,0.9323151019825827,0,True,False,False,,none,0.030093168,UNLOGGED,1.3572785436785215,-0.12318194468686748,1.2929950238653476,1.298849461345459,True,0.6768180553131325,-0.49299502386534755,0.9828830087055926,commit,"(1.400277979623239, -0.2302439042664308, -1.2)",-0.13342207647040144,False,UNLOGGED,"(1.9093593130397895, 0.2619820190335793, -0.0979024206941329)",,UNLOGGED,NONE,
0.0357,0.9880514263184267,0,True,True,False,0.5,partial,0.014802264,UNLOGGED,1.3817183310269192,-0.048674628653818296,1.307984031179604,1.308889393835642,True,0.7513253713461817,-0.507984031179604,0.9828830087055926,commit,"(1.4127082845553043, -0.08990298200537657, -1.2)",-0.05152732170394699,False,UNLOGGED,"(1.9140550390447058, 0.2412941233508495, -0.012364815797999284)",,UNLOGGED,NONE,
0.0565,0.9534824202782561,0,True,False,False,,none,0.033463264,UNLOGGED,1.3499859346660275,-0.0705308053061058,1.267563541156852,1.2695242909717113,True,0.7294691946938943,-0.46756354115685195,0.9828830087055926,commit,"(1.404788244770787, -0.13230908902599, -1.2)",-0.07676699551888787,False,UNLOGGED,"(1.923265339537468, 0.2011221571853758, -0.3441362843993434)",,UNLOGGED,NONE,
0.0757,0.9832001703757408,0,True,True,False,0.5,partial,0.020458816,UNLOGGED,1.3460529111406958,0.0004305455760354217,1.230644179106792,1.2306442544207985,True,0.7995694544239647,-0.43064417910679187,0.9828830087055926,commit,"(1.4101352865720969, 0.0008093390615067874, -1.2)",0.00046890112722249033,False,UNLOGGED,"(1.9345184194941378, 0.14188536169922522, -0.9144276188171386)",,UNLOGGED,NONE,
0.096,0.9460383974264988,0,True,False,False,,none,0.041331816,UNLOGGED,1.296402870046654,-0.025964022046905393,1.1751260456739312,1.175412843924254,True,0.7740359779530946,-0.37512604567393115,0.9828830087055926,commit,"(1.4152481510289638, -0.05008983890123837, -1.2)",-0.02925671009207297,False,UNLOGGED,"(1.9445890148210254, 0.08554980533728757, -1.4358929905494837)",,UNLOGGED,NONE,
0.1156,0.9570491108138011,0,True,True,False,0.5,partial,0.019191632,UNLOGGED,1.2994294784805536,0.02610939215865308,1.1497769646220497,1.150073375369758,True,0.773890607841347,-0.34977696462204966,0.9828830087055926,commit,"(1.4011850736349374, 0.050263926086147194, -1.2)",0.029624576327467463,False,UNLOGGED,"(1.953103917544664, 0.0339543033421808, -1.8683581703263576)",,UNLOGGED,NONE,
0.1358,0.9291261919442967,0,True,True,False,0.5,partial,0.010879464,UNLOGGED,1.2722991772939338,0.0480180015401936,1.0941196388583077,1.0951728231687214,True,0.7519819984598064,-0.2941196388583076,0.9828830087055926,commit,"(1.3751331754955258, 0.0937155640613034, -1.2)",0.05659666865571594,False,UNLOGGED,"(1.9709384704667272, -0.03795869950307895, -1.3732479005868508)",,UNLOGGED,NONE,
0.1557,0.8930699350554917,0,True,False,False,,none,0.031176464,UNLOGGED,1.2292125850664544,0.032423698899511334,1.0427023194708653,1.0432063186542961,True,0.7675763011004887,-0.2427023194708653,0.9828830087055926,commit,"(1.3701479850481721, 0.06480386034466487, -1.2)",0.039703528831689476,False,UNLOGGED,"(1.9804686395264812, -0.0775602804967171, -0.7685213357953544)",,UNLOGGED,NONE,
0.1757,0.890605905756295,0,True,True,False,0.5,partial,0.010755584,UNLOGGED,1.2425637862698435,0.04268305723750655,1.0250674136247624,1.0259556744082563,True,0.7573169427624935,-0.22506741362476235,0.9828830087055926,commit,"(1.3483411136851453, 0.08460688456505655, -1.2)",0.05247287266304077,False,UNLOGGED,"(1.9859733216802191, -0.09644911927206042, -0.6200322641826613)",,UNLOGGED,NONE,
0.1956,0.8678720487057875,0,True,False,False,,none,0.023539584,UNLOGGED,1.2166840004623947,0.03196551925952497,0.9937608887620185,0.9942748606168256,True,0.7680344807404751,-0.19376088876201847,0.9828830087055926,commit,"(1.348561521538189, 0.06430158466549217, -1.2)",0.04013649649401173,False,UNLOGGED,"(1.9929704102115808, -0.10908349639701093, -0.8190319092069578)",,UNLOGGED,NONE,
0.2157,0.8086890297769057,0,True,True,False,0.5,partial,0.026689456,UNLOGGED,1.155480776471499,0.04924195434328693,0.9007655996586205,0.9021105451084698,True,0.7507580456567131,-0.10076559965862042,0.9828830087055926,commit,"(1.318598212074531, 0.10263963896023054, -1.2)",0.06645214609093064,False,UNLOGGED,"(2.011927552513111, -0.13621936381055677, -1.4538857334941595)",,UNLOGGED,NONE,
0.2356,0.7745567030795902,0,True,True,False,0.5,partial,0.000929208,UNLOGGED,1.0102033386523632,0.08812695744215789,0.8193972284355526,0.8241226720554878,True,0.7118730425578421,-0.019397228435552583,0.9828830087055926,commit,"(1.4134820432848851, 0.20324757664550547, -1.2)",0.12718204558567317,False,UNLOGGED,"(2.0174455445472432, -0.14212304165189676, -1.6507528127296758)",,UNLOGGED,NONE,
0.2591,0.7260676061135525,0,True,False,False,,none,0.028693208,UNLOGGED,0.9412659213631926,0.08480716927069408,0.7571348397507354,0.7618696880202545,True,0.715192830729306,0.04286516024926468,0.9828830087055926,commit,"(1.4183547243935768, 0.20623444241033198, -1.2)",0.13091226369764786,False,UNLOGGED,"(2.014879133342333, -0.14810181617579724, -1.3298951017054217)",,UNLOGGED,NONE,
0.2757,0.6892405398122236,0,True,True,False,0.5,partial,0.018658976,UNLOGGED,0.8391922677662488,0.1067493406977611,0.6860582460595741,0.6943135737732238,True,0.693250659302239,0.11394175394042594,0.9828830087055926,commit,"(1.4797727782059453, 0.2842629225862485, -1.1731177499999998)",0.1772777264654035,False,UNLOGGED,"(2.0058340410242974, -0.1584306843199514, -0.7464829397614006)",,UNLOGGED,NONE,
0.3029,0.6662035181888382,0,True,False,False,1.0,none,0.031667976,UNLOGGED,0.8112695468101797,0.10425449970991257,0.6558505460465021,0.6640850393279908,True,0.6957455002900874,0.14414945395349799,0.9828830087055926,commit,"(1.4673759187343185, 0.28485798039353, -1.161027415603167)",0.18042620410494484,False,UNLOGGED,"(1.99817983092087, -0.14638374560048065, -0.9180637090458871)",,UNLOGGED,NONE,
0.3158,0.6629568082406405,0,True,True,False,0.5,partial,0.012694336,UNLOGGED,0.7658799721258058,0.07754889950032015,0.661443517482384,0.6659739924600506,False,0.7224511004996799,0.1385564825176161,0.9828830087055926,commit,"(1.574175411561968, 0.2228900542753191, -1.142071765603167)",0.1338821738750463,False,UNLOGGED,"(1.984735028695038, -0.1549921824773189, -1.1718393776013944)",,UNLOGGED,NONE,
0.3355,0.6265159239425435,0,True,False,False,,none,0.033407336,UNLOGGED,0.7147973184853728,0.07655035527260254,0.6168485640377368,0.6215803309691995,False,0.7234496447273975,0.18315143596226324,0.9828830087055926,commit,"(1.579170252877251, 0.2325506373774362, -1.112077315603167)",0.1411568192403057,False,UNLOGGED,"(1.9753274794096787, -0.14521568842193375, -1.701142723943476)",,UNLOGGED,NONE,
0.3569,0.59006485640166,0,True,False,False,,none,0.053869336,UNLOGGED,0.6662760073660264,0.07922498879835668,0.5761732937923285,0.5815945867437219,False,0.7207750112016433,0.22382670620767153,0.9828830087055926,commit,"(1.5769407431301934, 0.25474676674191465, -1.080372115603167)",0.15678310446855806,False,UNLOGGED,"(1.967154244574522, -0.09910061792775282, -1.3140206057477717)",,UNLOGGED,NONE,
0.3757,0.5518311173897197,0,True,False,False,,none,0.075145336,UNLOGGED,0.6189516333624628,0.08279432412095473,0.5352211107502203,0.5415870544052408,False,0.7172056758790453,0.26477888924977977,0.9828830087055926,commit,"(1.56729985715631, 0.2826721247708469, -1.0520747656031668)",0.1770955621791828,False,UNLOGGED,"(1.9573426530040738, -0.07972886244770869, -0.984009119017079)",,UNLOGGED,NONE,
0.3957,0.5139797394274801,0,True,False,False,,none,0.095872336,UNLOGGED,0.5764510255505425,0.08530709759396107,0.49571684527286886,0.503003470750641,False,0.714692902406039,0.3042831547271312,0.9828830087055926,commit,"(1.5532098983935445, 0.308751876057128, -1.0220750656031667)",0.19720052847026232,False,UNLOGGED,"(1.9754610835834379, -0.04785711486575717, -0.6745454047835289)",,UNLOGGED,NONE,
0.4156,0.4883969937103087,0,True,False,False,,none,0.109799336,UNLOGGED,0.547970179585602,0.0864422861076688,0.4689446562489606,0.47684521540220565,False,0.7135577138923312,0.33105534375103945,0.9828830087055926,commit,"(1.5443155920867573, 0.32630445081915616, -0.9920749156031667)",0.21104777048342307,False,UNLOGGED,"(1.9844053780925375, -0.036878648753247346, -0.6760844294214239)",,UNLOGGED,NONE,
