flight_id,frame_id,feature_ts_ns,mono_ns,mapped_tick,tick_mismatch_ns,t_rel_setpoint_grid_s,e_meas_m,range_z_m,v_full_raw_mps,full_history_n,full_history_span_s,input_validity,level_pitch_rad,level_roll_rad
20260719T201851-50f9dcc8,205,1784492335714154200,169005824166200,162,5466600,3.24,-0.45,5.246903129846792,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,206,1784492335742525000,169005852058300,164,6641300,3.2800000000000002,-0.45,5.292986297399397,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,207,1784492335776849700,169005887610600,165,8911000,3.3000000000000003,-0.45,5.4679102304699745,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,208,1784492335811838800,169005921620100,167,2920500,3.34,-0.45,5.635076552154461,-0.0,4,0.09768438339233398,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,209,1784492335846138500,169005956064900,169,2634700,3.38,-0.45,5.693551702320805,-0.0,5,0.13198447227478027,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,210,1784492335874083300,169005984377200,170,5677600,3.4,-0.45,5.872459338090907,-0.0,6,0.1599290370941162,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,211,1784492335908728600,169006019644200,172,944600,3.44,-0.45,6.074848758137625,-0.0,7,0.19457435607910156,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,212,1784492335943363600,169006053001600,174,5698000,3.48,-0.45,6.083424342075958,-0.0,8,0.22920942306518555,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,213,1784492335978610800,169006088813000,176,9886600,3.52,-0.45,6.034218250174574,-0.0,9,0.26445651054382324,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,214,1784492336012848400,169006123354100,177,4654500,3.54,-0.45,6.144235013698295,-0.0,10,0.2986941337585449,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,215,1784492336048259000,169006159439200,179,739600,3.58,-0.45,6.001152417474983,-0.0,11,0.3341047763824463,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,216,1784492336075214000,169006186233500,180,7533900,3.6,-0.45,5.71048573467641,-0.0,12,0.36105990409851074,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,217,1784492336109957500,169006220226700,182,1527100,3.64,-0.45,4.81596107079171,-0.0,13,0.39580321311950684,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,218,1784492336144611500,169006255633400,184,3066200,3.68,-0.45,4.349229000363209,-0.0,14,0.43045735359191895,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,219,1784492336179434900,169006289727700,186,8971900,3.72,-0.45,4.188968645548883,-0.0,15,0.46528077125549316,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,234,1784492336679424100,169006789192300,211,9507300,4.22,-0.45,5.190071277607469,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,235,1784492336707726900,169006816642400,212,2057200,4.24,-0.45,5.320359794115988,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,236,1784492336741860900,169006852130300,214,6569300,4.28,-0.45,5.3624239400848905,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,237,1784492336776547800,169006889339800,216,9359800,4.32,-0.45,5.448603014053614,-0.0,4,0.09712386131286621,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,238,1784492336811860800,169006921361800,217,2662200,4.34,-0.45,5.5140306920402935,-0.0,5,0.13243675231933594,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,239,1784492336846005200,169006956860100,219,1839500,4.38,-0.45,5.066986878197438,-0.0,6,0.1665811538696289,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,240,1784492336880826700,169006991067800,221,7631800,4.42,-0.45,4.197265682275684,-0.0,7,0.2014026641845703,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,244,1784492337012677900,169007122294700,227,3595100,4.54,-0.45,4.214787240264689,-0.0,8,0.3332538604736328,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,245,1784492337047447000,169007156209000,229,2490600,4.58,-0.45,4.597065968873419,-0.0,9,0.3680229187011719,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,246,1784492337075018200,169007184332300,230,5632700,4.6000000000000005,-0.45,4.7436840337522606,-0.0,10,0.39559412002563477,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,247,1784492337109944900,169007218874200,232,174600,4.64,-0.45,4.939638967933698,-0.0,11,0.43052077293395996,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,248,1784492337144526200,169007256963800,234,1735800,4.68,-0.45,4.925815798240979,-0.0,12,0.465101957321167,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,249,1784492337179578400,169007288807600,236,9892000,4.72,-0.45,5.090129483572306,-0.0,12,0.4718513488769531,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,250,1784492337214079100,169007322654600,237,3955000,4.74,-0.45,5.133514507171563,-0.0,12,0.47221803665161133,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,251,1784492337242190400,169007351113200,239,7586400,4.78,-0.45,5.098480048905644,-0.0,12,0.46564245223999023,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,252,1784492337276469300,169007386107200,240,7407600,4.8,-0.45,5.051140473816638,-0.0,13,0.4999213218688965,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,253,1784492337311395600,169007420809500,242,2109900,4.84,-0.45,4.9522767179763125,-0.0,13,0.49953484535217285,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,254,1784492337345901400,169007455198100,244,3501500,4.88,-0.45,4.925332626157813,-0.0,13,0.4998960494995117,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,255,1784492337374938400,169007482909300,245,4209700,4.9,-0.45,4.811271651126653,-0.0,13,0.4941115379333496,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,256,1784492337408468900,169007517620500,247,1079100,4.94,-0.45,4.72801092411909,-0.0,13,0.39579105377197266,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,257,1784492337443083600,169007554352400,249,4347200,4.98,-0.45,4.649018646162281,-0.0,14,0.4304056167602539,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,258,1784492337478282400,169007588489900,250,9790300,5.0,-0.45,4.741944749085998,-0.0,15,0.4656045436859131,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,259,1784492337512654800,169007622354900,252,3655300,5.04,-0.45,4.8564898140665544,-0.0,16,0.49997687339782715,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,260,1784492337540868100,169007650994400,254,7705200,5.08,-0.45,4.866788795748067,-0.0,16,0.4934210777282715,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,261,1784492337575233100,169007685660300,255,6960700,5.1000000000000005,-0.45,4.836784625323812,-0.0,15,0.4652881622314453,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,262,1784492337609736200,169007719386200,257,686600,5.14,-0.45,4.766505679968397,-0.0,16,0.49979138374328613,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,263,1784492337645076900,169007753981300,259,4718300,5.18,-0.45,4.197002851770607,-0.0,15,0.465498685836792,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,270,1784492337880605500,169007990820100,271,7879500,5.42,-0.45,3.84791216382806,-0.0,9,0.4721364974975586,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,271,1784492337908351700,169008019421600,272,722000,5.44,-0.45,3.9223188677542766,-0.0,10,0.49988269805908203,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,272,1784492337943718800,169008052477700,274,6221900,5.48,-0.45,3.973792968220509,-0.0,9,0.4654364585876465,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,273,1784492337977808400,169008087307000,275,8607400,5.5,-0.45,4.053957237692293,-0.0,10,0.4995260238647461,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,274,1784492338012526100,169008122017700,277,3318100,5.54,-0.45,4.038926428559397,-0.0,10,0.49987125396728516,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,275,1784492338041563600,169008150371600,279,8328000,5.58,-0.45,3.9674483295265306,-0.0,9,0.46633076667785645,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,276,1784492338075124900,169008188455200,280,9755600,5.6000000000000005,-0.45,3.7926179540442986,-0.0,10,0.499891996383667,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,277,1784492338109692900,169008220079900,282,1380300,5.64,-0.45,3.708232039407492,-0.0,10,0.4999566078186035,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,278,1784492338144386100,169008255156100,284,3543500,5.68,-0.45,3.753240511679042,-0.0,10,0.49930906295776367,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,279,1784492338179684300,169008288851500,286,9848100,5.72,-0.45,3.7070227950069015,-0.0,10,0.29907894134521484,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,280,1784492338213848800,169008323520200,287,4820600,5.74,-0.45,3.7419390579849625,-0.0,11,0.33324337005615234,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,281,1784492338241725900,169008351468400,289,7231200,5.78,-0.45,3.694037472100922,-0.0,12,0.36112046241760254,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,282,1784492338276380200,169008386327000,290,7627400,5.8,-0.45,3.6350876750628625,-0.0,13,0.39577460289001465,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,283,1784492338311110600,169008419894700,292,1195100,5.84,-0.45,3.581477060166857,-0.0,14,0.43050527572631836,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,284,1784492338345743500,169008457602600,294,1097000,5.88,-0.45,3.553683740850919,-0.0,15,0.46513819694519043,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,285,1784492338380579700,169008490311200,296,8388400,5.92,-0.45,3.428938728232537,-0.0,16,0.49997401237487793,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,286,1784492338408574600,169008519099100,297,399500,5.94,-0.45,3.3271882158059847,-0.0,15,0.4648559093475342,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,287,1784492338442940600,169008551744600,299,6955000,5.98,-0.45,3.3285023929186766,-0.0,16,0.4992218017578125,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,288,1784492338477851300,169008587389100,300,8689500,6.0,-0.45,3.128922977416289,-0.0,15,0.46532535552978516,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,289,1784492338512394600,169008623167100,302,4467500,6.04,-0.45,3.076833043426804,-0.0,16,0.49986839294433594,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,290,1784492338547137500,169008657630500,304,1069100,6.08,-0.45,3.013716260384588,-0.0,15,0.4720125198364258,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,291,1784492338575118800,169008687474100,305,8774500,6.1000000000000005,-0.45,2.9682008759196608,-0.0,16,0.49999380111694336,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,294,1784492338678995800,169008788601800,310,9902200,6.2,-0.45,2.4855658517835533,-0.0,14,0.4993112087249756,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,295,1784492338713860400,169008824400800,312,5701200,6.24,-0.45,2.5347025393839324,-0.0,13,0.4721343517303467,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,296,1784492338741669400,169008854187900,314,4511700,6.28,-0.45,2.549722304733188,-0.0,14,0.49994349479675293,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,297,1784492338776362600,169008886848200,315,8148600,6.3,-0.45,2.4820796959408575,-0.0,14,0.4999823570251465,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,298,1784492338810915200,169008921290000,317,2590400,6.34,-0.45,2.453789565690327,-0.0,14,0.4998044967651367,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,299,1784492338845719700,169008955517000,319,3182600,6.38,-0.45,2.4221829171528055,-0.0,14,0.49997615814208984,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,301,1784492338908125900,169009019975400,322,1275800,6.44,-0.45,2.350909378177712,-0.0,13,0.49955105781555176,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,302,1784492338942988400,169009054162100,324,4537500,6.48,-0.45,2.360039073618696,-0.0,12,0.4651370048522949,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,303,1784492338977627300,169009086658700,325,7959100,6.5,-0.45,2.3039204113015956,-0.0,13,0.49977588653564453,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,304,1784492339012412500,169009122728700,327,4029100,6.54,-0.45,2.2229525210106056,-0.0,12,0.4652748107910156,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,305,1784492339047335800,169009159138400,329,438800,6.58,-0.45,2.1552983633694747,-0.0,12,0.4722168445587158,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,306,1784492339075412000,169009187708200,330,9008600,6.6000000000000005,-0.45,2.0819080366091516,-0.0,12,0.39641642570495605,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,307,1784492339109460000,169009219360900,332,661300,6.640000000000001,-0.45,2.0324473521435866,-0.0,13,0.4304642677307129,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,308,1784492339144926600,169009254242300,334,4457300,6.68,-0.45,1.9388780568960158,-0.0,14,0.4659311771392822,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,309,1784492339179547100,169009290372100,336,8327500,6.72,-0.45,1.8446245029045305,-0.0,14,0.4656867980957031,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,310,1784492339213677500,169009324965600,337,6266000,6.74,-0.45,1.7654946938982303,-0.0,15,0.4998173713684082,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,311,1784492339241378800,169009354309900,339,4389700,6.78,-0.45,1.715484479935911,-0.0,15,0.4997093677520752,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,312,1784492339276071100,169009386516800,340,7817200,6.8,-0.40913566493568826,1.5979612740538265,-0.0,15,0.4997086524963379,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,313,1784492339311109200,169009421245300,342,2545700,6.84,-0.4044994646635328,1.4694710908491615,-0.0,14,0.4653892517089844,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,314,1784492339345678500,169009456142800,344,2556800,6.88,-0.3568618961010103,1.3850133868307322,-0.0,15,0.49995875358581543,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,315,1784492339380359300,169009494346900,346,4352700,6.92,-0.3232203044904954,1.3271587416031214,-0.0,15,0.47223353385925293,VALID,-0.3106987661062333,0.00025650874109527094
