scenario,ts_s,source,e_meas,active_sample,active_source,rate_source,rate_anchor_age_s,rate_anchor_age_frozen_s,rate_anchor_elapsed_s,rate_anchor_valid,rate_anchor_v_mps,anchor_breaches
R26-4-side-offset,0.0,FULL_QUAD,0.3,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.0,SIDE_PAIR,0.38,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.04,FULL_QUAD,0.296,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.04,SIDE_PAIR,0.376,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.08,FULL_QUAD,0.292,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.08,SIDE_PAIR,0.372,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.12,FULL_QUAD,0.288,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.12,SIDE_PAIR,0.368,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.16,FULL_QUAD,0.284,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.16,SIDE_PAIR,0.364,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.2,FULL_QUAD,0.27999999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.2,SIDE_PAIR,0.36,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.24,FULL_QUAD,0.27599999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.24,SIDE_PAIR,0.356,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.28,FULL_QUAD,0.27199999999999996,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.28,SIDE_PAIR,0.352,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.32,SIDE_PAIR,0.348,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.36,SIDE_PAIR,0.344,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.4,SIDE_PAIR,0.34,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-4-side-offset,0.44,SIDE_PAIR,0.336,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.15999999999999998,0.15999999999999998,0.15999999999999998,True,0.07466666666666674,0
R26-4-side-offset,0.48,SIDE_PAIR,0.332,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.19999999999999996,0.19999999999999996,0.19999999999999996,True,0.07466666666666674,0
R26-4-side-offset,0.52,SIDE_PAIR,0.328,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.24,0.24,0.24,True,0.07466666666666674,0
R26-5-contradiction,0.0,FULL_QUAD,0.3,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.0,SIDE_PAIR,0.34,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.04,FULL_QUAD,0.296,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.04,SIDE_PAIR,0.336,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.08,FULL_QUAD,0.292,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.08,SIDE_PAIR,0.332,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.12,FULL_QUAD,0.288,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.12,SIDE_PAIR,0.328,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.16,FULL_QUAD,0.284,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.16,SIDE_PAIR,0.324,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.2,FULL_QUAD,0.27999999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.2,SIDE_PAIR,0.32,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.24,FULL_QUAD,0.27599999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.24,SIDE_PAIR,0.316,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.28,FULL_QUAD,0.27199999999999996,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.28,SIDE_PAIR,0.312,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.32,SIDE_PAIR,0.30800000000000005,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.36,SIDE_PAIR,0.30400000000000005,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.4,SIDE_PAIR,0.30000000000000004,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-5-contradiction,0.44,SIDE_PAIR,0.29600000000000004,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.15999999999999998,0.15999999999999998,0.15999999999999998,True,0.07466666666666674,0
R26-5-contradiction,0.48,SIDE_PAIR,0.5920000000000001,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.19999999999999996,0.19999999999999996,0.19999999999999996,True,0.07466666666666674,1
R26-5-contradiction,0.52,SIDE_PAIR,0.6160000000000001,True,SIDE_PAIR,ANCHOR_INVALID,0.24,0.24,0.24,False,0.07466666666666674,2
R26-5-contradiction,0.5599999999999999,SIDE_PAIR,0.64,True,SIDE_PAIR,ANCHOR_INVALID,0.2799999999999999,0.2799999999999999,0.2799999999999999,False,0.07466666666666674,2
R26-6-full-return,0.0,FULL_QUAD,0.3,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.0,SIDE_PAIR,0.34,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.04,FULL_QUAD,0.2968,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.04,SIDE_PAIR,0.33680000000000004,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.08,FULL_QUAD,0.29359999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.08,SIDE_PAIR,0.3336,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.12,FULL_QUAD,0.2904,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.12,SIDE_PAIR,0.3304,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.16,FULL_QUAD,0.2872,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.16,SIDE_PAIR,0.32720000000000005,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.2,FULL_QUAD,0.284,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.2,SIDE_PAIR,0.324,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.24,FULL_QUAD,0.2808,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.24,SIDE_PAIR,0.32080000000000003,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.28,FULL_QUAD,0.27759999999999996,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.28,SIDE_PAIR,0.3176,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.32,SIDE_PAIR,0.3144,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.36,SIDE_PAIR,0.31120000000000003,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.4,SIDE_PAIR,0.30800000000000005,False,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
R26-6-full-return,0.44,SIDE_PAIR,0.3048,True,SIDE_PAIR,FULL_RATE_ANCHOR,0.15999999999999998,0.15999999999999998,0.15999999999999998,True,0.059733333333333395,0
R26-6-full-return,0.48,FULL_QUAD,0.3,False,SIDE_PAIR,FULL_RATE_ANCHOR,0.19999999999999996,0.15999999999999998,0.19999999999999996,True,0.059733333333333395,0
R26-6-full-return,0.52,FULL_QUAD,0.2968,False,SIDE_PAIR,FULL_RATE_ANCHOR,0.24,0.15999999999999998,0.24,True,0.059733333333333395,0
R26-6-full-return,0.5599999999999999,FULL_QUAD,0.29359999999999997,True,FULL_QUAD,FULL_QUAD,0.0,0.0,0.0,False,,0
