group,packet,config,run,fixture_dir,flight_id,expected_vz_cap_mps,entry_index,commit_entry_mono_ns,source,detection_mono_ns,detection_age_s,commit_entry_range_m,commit_entry_x_m,commit_entry_ty_m,commit_entry_z_m,commit_entry_detection_phase,commit_entry_v_body_x,commit_entry_v_body_y,commit_entry_v_body_z
R1c-old-no-vz-cap,R1c,A,1,20260722T050003-raceprep-r1c-A-run1,20260722T045939-25254d82,ABSENT,1,373056725156300,latest_detection_at_or_before_commit_entry,373056717393900,0.007762,13.901680,4.352006,-2.675141,12.929051,align,1.754646,-0.194220,-0.024959
R1c-old-no-vz-cap,R1c,A,1,20260722T050003-raceprep-r1c-A-run1,20260722T045939-25254d82,ABSENT,2,373064387071700,latest_detection_at_or_before_commit_entry,373064349733200,0.037338,6.680701,1.329403,-0.559843,6.523115,align,1.652247,1.125593,-0.274689
R1c-old-no-vz-cap,R1c,A,1,20260722T050003-raceprep-r1c-A-run1,20260722T045939-25254d82,ABSENT,3,373065825166900,latest_detection_at_or_before_commit_entry,373065817201700,0.007965,5.281333,1.358096,-1.467505,4.888198,recover,1.639952,1.017831,-1.413168
R1c-old-no-vz-cap,R1c,B,2,20260722T050155-raceprep-r1c-B-run2,20260722T050128-d3d00a31,ABSENT,1,373165885938700,latest_detection_at_or_before_commit_entry,373165868127900,0.017811,12.302187,4.962305,-3.231583,10.783144,align,1.757484,-0.031853,0.006622
R1c-old-no-vz-cap,R1c,B,2,20260722T050155-raceprep-r1c-B-run2,20260722T050128-d3d00a31,ABSENT,2,373174685680600,latest_detection_at_or_before_commit_entry,373174374763600,0.310917,7.388135,-3.575461,-2.880181,5.788365,approach,1.455997,-0.756862,-1.831928
R1c-old-no-vz-cap,R1c,A,3,20260722T050315-raceprep-r1c-A-run3,20260722T050252-25254d82,ABSENT,1,373250006476400,latest_detection_at_or_before_commit_entry,373250001537300,0.004939,12.009152,4.541420,-2.020903,10.932117,align,1.759636,-0.514251,0.079485
R1c-old-no-vz-cap,R1c,B,4,20260722T050626-raceprep-r1c-B-run4,20260722T050413-d3d00a31,ABSENT,1,373330420041000,latest_detection_at_or_before_commit_entry,373330397083900,0.022957,13.984178,5.902598,-4.431064,11.877805,align,1.742613,0.503669,0.392305
R1c-old-no-vz-cap,R1c,B,4,20260722T050626-raceprep-r1c-B-run4,20260722T050413-d3d00a31,ABSENT,2,373333319664900,latest_detection_at_or_before_commit_entry,373332816508600,0.503156,2.363670,0.645283,-1.491950,1.715992,align,1.234027,0.530271,-1.953408
R1c-old-no-vz-cap,R1c,A,5,20260722T050749-raceprep-r1c-A-run5,20260722T050725-25254d82,ABSENT,1,373522516032400,latest_detection_at_or_before_commit_entry,373522509745100,0.006287,5.213112,0.285923,-1.190339,5.067335,takeoff,1.723041,0.269551,-0.542683
R1c-old-no-vz-cap,R1c,A,5,20260722T050749-raceprep-r1c-A-run5,20260722T050725-25254d82,ABSENT,2,373525695936000,latest_detection_at_or_before_commit_entry,373525674214000,0.021722,6.161241,0.759367,-3.045765,5.301656,approach,1.494895,0.918361,-0.864828
R1c-old-no-vz-cap,R1c,A,5,20260722T050749-raceprep-r1c-A-run5,20260722T050725-25254d82,ABSENT,3,373527995782900,latest_detection_at_or_before_commit_entry,373527994466200,0.001317,1.329507,-0.024737,-0.197964,1.314453,recover,1.755066,-0.076150,-0.348614
R1c-old-no-vz-cap,R1c,B,6,20260722T050908-raceprep-r1c-B-run6,20260722T050847-d3d00a31,ABSENT,1,373604954967100,latest_detection_at_or_before_commit_entry,373604932948300,0.022019,14.212002,3.540341,-2.489428,13.536976,align,1.765261,0.300432,0.256789
R1c-old-no-vz-cap,R1c,B,6,20260722T050908-raceprep-r1c-B-run6,20260722T050847-d3d00a31,ABSENT,2,373610474892200,latest_detection_at_or_before_commit_entry,373610468061400,0.006831,0.798981,0.080795,-0.373760,0.701531,align,1.314968,0.158662,-1.537466
R1b-B-new-cap0.35,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,0.350000,1,369126060877900,latest_detection_at_or_before_commit_entry,369126036007900,0.024870,12.622262,5.345822,-2.132406,11.233723,align,1.764793,-0.079982,0.063544
R1b-B-new-cap0.35,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,0.350000,2,369127620837300,latest_detection_at_or_before_commit_entry,369127570506800,0.050331,20.812686,-0.014211,-0.231888,20.811389,align,1.505396,-0.174781,0.350000
R1b-B-new-cap0.35,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,0.350000,3,369131120921100,latest_detection_at_or_before_commit_entry,369131097449700,0.023471,3.085099,0.737083,-2.049884,2.184610,align,1.119426,0.738867,-0.350000
R1b-B-new-cap0.35,R1b-B,B,4,20260722T035702-raceprep-r1b-B-run4,20260722T035636-af44e079,0.350000,1,369273578422200,latest_detection_at_or_before_commit_entry,369273551748400,0.026674,13.913107,6.152040,-3.483094,11.983113,align,1.775859,0.121343,0.350000
R1b-B-new-cap0.35,R1b-B,B,4,20260722T035702-raceprep-r1b-B-run4,20260722T035636-af44e079,0.350000,2,369282578447200,latest_detection_at_or_before_commit_entry,369282551249200,0.027198,8.497151,-4.725743,-4.726794,5.246556,align,-1.456620,-0.865944,-0.350000
R1b-B-new-cap0.35,R1b-B,B,6,20260722T035929-raceprep-r1b-B-run6,20260722T035907-af44e079,0.350000,1,369424883122800,latest_detection_at_or_before_commit_entry,369424870331400,0.012791,4.874166,0.483757,-0.866969,4.771985,takeoff,1.742988,0.474468,-0.137940
R1b-B-new-cap0.35,R1b-B,B,8,20260722T040157-raceprep-r1b-B-run8,20260722T040136-af44e079,0.350000,1,369574319768600,latest_detection_at_or_before_commit_entry,369574292633400,0.027135,12.596686,5.862736,-2.912034,10.762197,align,1.748709,0.054286,-0.035201
R1b-B-new-cap0.35,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,0.350000,1,369722155613100,latest_detection_at_or_before_commit_entry,369722130205500,0.025408,11.562489,6.848363,-2.221708,9.047380,align,1.772342,-0.217931,0.100785
R1b-B-new-cap0.35,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,0.350000,2,369725035420800,latest_detection_at_or_before_commit_entry,369725025952100,0.009469,6.323951,1.087950,-2.350904,5.769052,align,1.633098,0.929161,-0.350000
R1b-B-new-cap0.35,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,0.350000,3,369728695601700,latest_detection_at_or_before_commit_entry,369728692189300,0.003412,3.563815,-1.339282,-0.580429,3.251185,align,1.598975,-1.281831,-0.350000
