group,packet,fixture_dir,config,run,flight_id,exact_head_flown,anchor_or_build,command,expected_speed_mps,expected_terminal_enable,expected_vz_cap_mps,expected_vision_blend,actual_speed_mps,actual_terminal_enable,actual_vz_cap_mps,actual_vision_blend,param_integrity_four_fields,gates_passed,passed_at_least_one_gate,finished,wall_time_s,abort_class,abort_phase,abort_reason,failed_gate,env_hits,gate_clips,closest_range_m,closest_x_m,closest_camera_ty_m,closest_z_m,closest_phase,commit_entry_count,commit_entry_camera_ty_list_m,commit_entry_age_list_s,first_commit_entry_camera_ty_m,last_commit_entry_camera_ty_m,bias_pair_count_align_commit,bias_median_state_minus_detection_ty_m,bias_abs_median_state_minus_detection_ty_m,bias_median_align_state_minus_detection_ty_m,bias_median_commit_state_minus_detection_ty_m,approach_phase_duration_s,commit_phase_duration_s,align_phase_duration_s,role
R1b-B-new-cap0.35-blend0.6,R1b-B,20260722T035431-raceprep-r1b-B-run2,B,2,20260722T035407-af44e079,ea7af544b1d0b061cc3793e9858ce32894165073,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,0.350000,0.600000,1.800000,False,0.350000,0.600000,OK,0,False,False,14.343992,collision,recover,environment collision (impulse=2.7),1,2,0,1.211627,0.025257,-0.927672,0.778991,align,3,-2.132406;-0.231888;-2.049884,0.024870;0.050331;0.023471,-2.132406,-2.049884,163,0.771479,0.771558,0.252838,0.926998,0.239621,0.320177,2.939145,"control: new build, cap 0.35, blend 0.6"
R1b-B-new-cap0.35-blend0.6,R1b-B,20260722T035702-raceprep-r1b-B-run4,B,4,20260722T035636-af44e079,71fea27c012d21ee84191ab703d9db4ed27e43ed,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,0.350000,0.600000,1.800000,False,0.350000,0.600000,OK,0,False,False,15.995997,collision,approach,environment collision (impulse=8.8),1,17,0,1.486553,-0.646632,-1.090290,0.776516,align,2,-3.483094;-4.726794,0.026674;0.027198,-3.483094,-4.726794,121,1.275407,1.275407,1.249466,1.279844,0.642313,1.740129,0.679880,"control: new build, cap 0.35, blend 0.6"
R1b-B-new-cap0.35-blend0.6,R1b-B,20260722T035929-raceprep-r1b-B-run6,B,6,20260722T035907-af44e079,07ef0e90b8346f3c443a3a1932e70f830a62b783,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,0.350000,0.600000,1.800000,False,0.350000,0.600000,OK,0,False,False,12.275985,collision,recover,environment collision (impulse=4.2),1,19,6,0.998778,0.292578,-0.507755,0.808790,retreat,1,-0.866969,0.012791,-0.866969,-0.866969,118,0.006522,0.022766,,0.006522,0.899970,2.359876,0.000000,"control: new build, cap 0.35, blend 0.6"
R1b-B-new-cap0.35-blend0.6,R1b-B,20260722T040157-raceprep-r1b-B-run8,B,8,20260722T040136-af44e079,0fa529c3d36f863ff27783d304644367b2a333bc,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,0.350000,0.600000,1.800000,False,0.350000,0.600000,OK,0,False,False,11.603994,collision,search,environment collision (impulse=8.6),1,1,0,2.070090,-0.836054,-0.531752,1.817561,commit,1,-2.912034,0.027135,-2.912034,-2.912034,218,0.015305,0.067561,1.957911,-0.009894,0.000000,3.320051,1.039877,"control: new build, cap 0.35, blend 0.6"
R1b-B-new-cap0.35-blend0.6,R1b-B,20260722T040441-raceprep-r1b-B-run10,B,10,20260722T040403-af44e079,17802d6d58a5dea69fb6b6c3d2e2400821622dda,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,1.800000,False,0.350000,0.600000,1.800000,False,0.350000,0.600000,OK,0,False,False,27.956006,collision,approach,environment collision (impulse=1.2),1,3,0,0.649515,0.056386,-0.199830,0.615434,retreat,3,-2.221708;-2.350904;-0.580429,0.025408;0.009469;0.003412,-2.221708,-0.580429,383,0.012449,0.073886,-0.016133,0.018789,4.118461,5.599668,2.060093,"control: new build, cap 0.35, blend 0.6"
R1d-new-cap1.2-blend0.6,R1d,20260722T054709-raceprep-r1d-B-run1,B,1,20260722T054649-1d8b4339,fc093a792d93f4d6d1e06e4ef044ab954f4f4fa6,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,1.800000,False,1.200000,0.600000,1.800000,False,1.200000,0.600000,OK,0,False,False,9.969068,collision,recover,environment collision (impulse=1.3),1,2,4,0.714529,0.234776,-0.298284,0.605358,recover,2,-2.610162;-0.796000,0.030384;0.001345,-2.610162,-0.796000,176,0.025653,0.089272,1.686325,0.018077,0.000000,2.798072,0.800233,"climb-authority treatment: cap 1.2, blend 0.6"
R1d-new-cap1.2-blend0.6,R1d,20260722T054828-raceprep-r1d-B-run2,B,2,20260722T054806-1d8b4339,a9e5d1cf9d3f8fba4350fdfeaf7143aa3b66ffaa,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,1.800000,False,1.200000,0.600000,1.800000,False,1.200000,0.600000,OK,0,False,False,12.440320,collision,commit,environment collision (impulse=8.6),1,1,0,1.379937,-0.316066,-0.677018,1.160162,commit,3,-2.050947;-0.647062;-1.761634,0.001299;0.017600;0.018495,-2.050947,-1.761634,225,0.019418,0.106918,1.226586,0.012284,0.110267,4.080158,0.460001,"climb-authority treatment: cap 1.2, blend 0.6"
R1d-new-cap1.2-blend0.6,R1d,20260722T054940-raceprep-r1d-B-run3,B,3,20260722T054923-1d8b4339,833bdd2cec43d6d57fff309f0ede5445955e0510,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,1.800000,False,1.200000,0.600000,1.800000,False,1.200000,0.600000,OK,0,False,False,7.624014,clip_budget,recover,gate clip budget exceeded (11),1,0,11,0.885051,-0.233199,-0.600407,0.606997,commit,1,-0.996050,0.029057,-0.996050,-0.996050,131,-0.001433,0.033834,,-0.001433,0.000000,2.642722,0.000000,"climb-authority treatment: cap 1.2, blend 0.6"
R1d-new-cap1.2-blend0.6,R1d,20260722T055103-raceprep-r1d-B-run4,B,4,20260722T055035-1d8b4339,616d07aa200534ebed1f7bafa748212c9a45b1c1,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,1.800000,False,1.200000,0.600000,1.800000,False,1.200000,0.600000,OK,1,True,False,18.707989,collision,recover,environment collision (impulse=11.8),2,133,3,0.693276,-0.059258,-0.246343,0.645318,recover,5,-2.184585;-0.636664;-4.420137;-0.331371;-1.324143,0.002530;0.013848;0.011356;0.138402;0.017267,-2.184585,-1.324143,260,0.113349,0.332738,1.849410,0.072098,0.400197,4.193673,1.020065,"climb-authority treatment: cap 1.2, blend 0.6"
R1d-new-cap1.2-blend0.6,R1d,20260722T055214-raceprep-r1d-B-run5,B,5,20260722T055157-1d8b4339,8cf3aa9b273b61ee90892952f3845abd80facae6,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,1.800000,False,1.200000,0.600000,1.800000,False,1.200000,0.600000,OK,0,False,False,7.168084,collision,commit,environment collision (impulse=3.6),1,1,0,2.720232,1.751110,-1.334061,1.597986,commit,1,-1.148296,0.016774,-1.148296,-1.148296,123,0.019955,0.060138,0.049468,0.015851,0.000000,1.188012,1.279993,"climb-authority treatment: cap 1.2, blend 0.6"
R1e-new-cap1.2-blend0.9,R1e,20260722T123016-raceprep-r1e-B-run1,B,1,20260722T123000-f20a8d28,81f12ad6d035cdd5d20a79f73a4a6fe20ed9b1dd,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vision_blend=0.9,1.800000,False,1.200000,0.900000,1.800000,False,1.200000,0.900000,OK,0,False,False,5.864034,collision,recover,environment collision (impulse=1.4),1,3,0,3.630287,-0.256481,-2.100574,2.949709,commit,1,-0.567156,0.017409,-0.567156,-0.567156,55,0.731816,0.731816,-0.005703,0.742140,0.000000,0.959863,0.159600,"estimate-bias treatment: cap 1.2, blend 0.9"
R1e-new-cap1.2-blend0.9,R1e,20260722T123138-raceprep-r1e-B-run2,B,2,20260722T123111-f20a8d28,83c92f47ab53d9b3d06196143c6fb105c2d47bfd,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vision_blend=0.9,1.800000,False,1.200000,0.900000,1.800000,False,1.200000,0.900000,OK,0,False,False,17.245489,collision,search,environment collision (impulse=11.1),1,1,0,1.516730,-0.693630,-0.723564,1.138334,commit,1,-0.679447,0.003653,-0.679447,-0.679447,174,0.007712,0.030931,0.035420,0.007461,1.019446,3.485355,0.020005,"estimate-bias treatment: cap 1.2, blend 0.9"
R1e-new-cap1.2-blend0.9,R1e,20260722T123255-raceprep-r1e-B-run3,B,3,20260722T123236-f20a8d28,648a3135449b7dbee98b4bb851928fcf149856a8,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vision_blend=0.9,1.800000,False,1.200000,0.900000,1.800000,False,1.200000,0.900000,OK,0,False,False,8.752006,clip_budget,recover,gate clip budget exceeded (11),1,12,11,0.892963,0.020267,-0.733086,0.509467,recover,1,-2.129317,0.033591,-2.129317,-2.129317,141,0.888048,0.888048,1.133882,0.126727,0.000000,2.180724,0.640044,"estimate-bias treatment: cap 1.2, blend 0.9"
R1e-new-cap1.2-blend0.9,R1e,20260722T123407-raceprep-r1e-B-run4,B,4,20260722T123350-f20a8d28,7a503759fdc5a50a6397475b7f2432f92b2010cf,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vision_blend=0.9,1.800000,False,1.200000,0.900000,1.800000,False,1.200000,0.900000,OK,0,False,False,7.484002,collision,recover,environment collision (impulse=1.6),1,2,0,3.394332,0.083675,-0.955092,3.256116,align,1,-1.881036,0.012965,-1.881036,-1.881036,126,0.007452,0.049568,0.003976,0.044122,0.000000,0.399814,2.140134,"estimate-bias treatment: cap 1.2, blend 0.9"
R1e-new-cap1.2-blend0.9,R1e,20260722T123526-raceprep-r1e-B-run5,B,5,20260722T123501-f20a8d28,42917011786fd503415eb51d6c6847cf8278b161,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vision_blend=0.9,1.800000,False,1.200000,0.900000,1.800000,False,1.200000,0.900000,OK,0,False,False,15.552004,collision,search,environment collision (impulse=1.0),1,1,0,4.045434,-1.364806,-0.445524,3.782109,approach,3,-2.192759;-0.445524;-0.892013,0.026434;0.019106;0.002796,-2.192759,-0.892013,120,1.996104,1.996104,1.655298,2.050296,0.960019,1.359802,1.039572,"estimate-bias treatment: cap 1.2, blend 0.9"
